11529,0.8487,-0.2185,-0.4685,0.1115,845,-439,477
11538,0.8497,-0.2195,-0.4663,0.1110,816,-459,491
11545,0.8510,-0.2206,-0.4636,0.1103,806,-483,486
11554,0.8526,-0.2218,-0.4602,0.1097,848,-525,455
11563,0.8546,-0.2233,-0.4558,0.1096,772,-506,554
11571,0.8568,-0.2249,-0.4509,0.1096,755,-507,561
11580,0.8586,-0.2262,-0.4470,0.1090,829,-519,468
11587,0.8607,-0.2268,-0.4426,0.1088,767,-494,560
11596,0.8635,-0.2271,-0.4370,0.1088,733,-475,534
11605,0.8663,-0.2273,-0.4312,0.1091,727,-455,573
11613,0.8694,-0.2274,-0.4246,0.1100,731,-495,579
11621,0.8725,-0.2275,-0.4180,0.1111,741,-500,610
11629,0.8756,-0.2268,-0.4114,0.1121,742,-499,563
11637,0.8786,-0.2262,-0.4050,0.1135,698,-494,608
11646,0.8815,-0.2261,-0.3982,0.1152,675,-504,610
11655,0.8846,-0.2256,-0.3911,0.1168,668,-528,617
11663,0.8878,-0.2247,-0.3838,0.1185,651,-501,635
11671,0.8912,-0.2236,-0.3760,0.1200,657,-502,663
11679,0.8944,-0.2222,-0.3689,0.1205,666,-510,670
11688,0.8977,-0.2203,-0.3621,0.1207,639,-498,647
11697,0.9005,-0.2191,-0.3555,0.1210,611,-495,660
11705,0.9035,-0.2177,-0.3486,0.1218,599,-460,667
11713,0.9064,-0.2159,-0.3416,0.1227,584,-434,664
11721,0.9095,-0.2140,-0.3342,0.1240,569,-430,699
11730,0.9126,-0.2115,-0.3264,0.1259,565,-444,716
11739,0.9152,-0.2095,-0.3198,0.1277,562,-451,703
11747,0.9176,-0.2076,-0.3132,0.1298,548,-458,721
11754,0.9197,-0.2062,-0.3069,0.1321,533,-431,709
11763,0.9216,-0.2048,-0.3010,0.1344,508,-412,706
11772,0.9236,-0.2032,-0.2949,0.1365,459,-416,698
11780,0.9256,-0.2015,-0.2888,0.1385,421,-421,693
11789,0.9276,-0.1998,-0.2827,0.1403,419,-420,705
11796,0.9297,-0.1978,-0.2766,0.1417,427,-416,714
11805,0.9317,-0.1957,-0.2708,0.1428,428,-409,713
11813,0.9335,-0.1936,-0.2654,0.1436,428,-401,702
